data_hora,pressao,temperatura
03/02/2018 17:30,80.6704,120.0433
03/02/2018 17:30,80.696795,120.0417
03/02/2018 17:30,80.72319,120.04
03/02/2018 17:30,80.751026,120.0384
03/02/2018 17:30,80.776673,120.0366
03/02/2018 17:30,80.801442,120.0348
03/02/2018 17:30,80.825398,120.0331
03/02/2018 17:31,80.85073,120.0313
03/02/2018 17:31,80.875152,120.0297
03/02/2018 17:31,80.897169,120.0279
03/02/2018 17:31,80.919813,120.0259
03/02/2018 17:31,80.944863,120.0242
03/02/2018 17:31,80.96663,120.0223
03/02/2018 17:31,80.991679,120.0206
03/02/2018 17:31,81.014952,120.0185
03/02/2018 17:31,81.04038,120.0166
03/02/2018 17:31,81.067119,120.0149
03/02/2018 17:31,81.09142,120.013
03/02/2018 17:31,81.111777,120.0111
03/02/2018 17:32,81.134854,120.0094
03/02/2018 17:32,81.156619,120.0075
03/02/2018 17:32,81.174473,120.0056
03/02/2018 17:32,81.198773,120.0037
03/02/2018 17:32,81.21809,120.0021
03/02/2018 17:32,81.237536,120.0003
03/02/2018 17:32,81.257827,119.9986
03/02/2018 17:32,81.277837,119.9968
03/02/2018 17:32,81.302353,119.995
03/02/2018 17:32,81.326273,119.9933
03/02/2018 17:32,81.350442,119.9916
03/02/2018 17:32,81.371642,119.9897
03/02/2018 17:33,81.392431,119.988
03/02/2018 17:33,81.410565,119.9861
03/02/2018 17:33,81.427691,119.9844
03/02/2018 17:33,81.448079,119.9825
03/02/2018 17:33,81.469527,119.9806
03/02/2018 17:33,81.490478,119.9787
03/02/2018 17:33,81.506044,119.9768
03/02/2018 17:33,81.529561,119.9748
03/02/2018 17:33,81.551886,119.9729
03/02/2018 17:33,81.574027,119.9709
03/02/2018 17:33,81.596353,119.969
03/02/2018 17:33,81.616392,119.9672
03/02/2018 17:34,81.635618,119.9653
03/02/2018 17:34,81.661323,119.9634
03/02/2018 17:34,81.683463,119.9614
03/02/2018 17:34,81.700815,119.9593
03/02/2018 17:34,81.718037,119.9575
03/02/2018 17:34,81.741303,119.9554
03/02/2018 17:34,81.763724,119.9534
03/02/2018 17:34,81.782386,119.9515
03/02/2018 17:34,81.799142,119.9495
03/02/2018 17:34,81.816114,119.9476
03/02/2018 17:34,81.837592,119.9458
03/02/2018 17:34,81.855224,119.9437
03/02/2018 17:35,81.87589,119.9418
03/02/2018 17:35,81.892861,119.9399
03/02/2018 17:35,81.913526,119.938
03/02/2018 17:35,81.930594,119.9359
03/02/2018 17:35,81.949851,119.934
03/02/2018 17:35,81.967418,119.932
03/02/2018 17:35,81.98714,119.9303
03/02/2018 17:35,82.007869,119.9282
03/02/2018 17:35,82.028966,119.9265
03/02/2018 17:35,82.051288,119.9246
03/02/2018 17:35,82.073988,119.9226
03/02/2018 17:35,82.097218,119.9206
03/02/2018 17:36,82.118791,119.9185
03/02/2018 17:36,82.139985,119.9166
03/02/2018 17:36,82.160399,119.9147
03/02/2018 17:36,82.18247,119.9127
03/02/2018 17:36,82.204855,119.9107
03/02/2018 17:36,82.221542,119.9089
03/02/2018 17:36,82.242671,119.9071
03/02/2018 17:36,82.264145,119.9052
03/02/2018 17:36,82.28249,119.9033
03/02/2018 17:36,82.303401,119.9015
03/02/2018 17:36,82.32481,119.8997
03/02/2018 17:36,82.343186,119.8978
03/02/2018 17:37,82.363534,119.8959
03/02/2018 17:37,82.383881,119.894
03/02/2018 17:37,82.401758,119.892
03/02/2018 17:37,82.420198,119.89
03/02/2018 17:37,82.441205,119.888
03/02/2018 17:37,82.461367,119.886
03/02/2018 17:37,82.480403,119.8839
03/02/2018 17:37,82.498778,119.882
03/02/2018 17:37,82.519881,119.8798
03/02/2018 17:37,82.538667,119.8778
03/02/2018 17:37,82.558828,119.8757
03/02/2018 17:37,82.58096,119.8737
03/02/2018 17:38,82.597774,119.8716
03/02/2018 17:38,82.617838,119.8697
03/02/2018 17:38,82.636622,119.8676
03/02/2018 17:38,82.656123,119.8657
03/02/2018 17:38,82.67794,119.8637
03/02/2018 17:38,82.696757,119.8616
03/02/2018 17:38,82.715693,119.8597
03/02/2018 17:38,82.736568,119.8579
03/02/2018 17:38,82.757605,119.8558
03/02/2018 17:38,82.776725,119.854
03/02/2018 17:38,82.799137,119.852
03/02/2018 17:38,82.817131,119.8503
03/02/2018 17:39,82.838601,119.8484
03/02/2018 17:39,82.856627,119.8466
03/02/2018 17:39,82.873277,119.8448
03/02/2018 17:39,82.896717,119.8429
03/02/2018 17:39,82.916497,119.841
03/02/2018 17:39,82.935713,119.8391
03/02/2018 17:39,82.952612,119.8373
03/02/2018 17:39,82.973486,119.8355
03/02/2018 17:39,82.991575,119.8336
03/02/2018 17:39,83.014451,119.8317
03/02/2018 17:39,83.039017,119.8298
03/02/2018 17:39,83.057669,119.8279
03/02/2018 17:40,83.077069,119.8262
03/02/2018 17:40,83.096598,119.8243
03/02/2018 17:40,83.118717,119.8227
03/02/2018 17:40,83.141809,119.8209
03/02/2018 17:40,83.162898,119.8192
03/02/2018 17:40,83.180889,119.8174
03/02/2018 17:40,83.202194,119.8158
03/02/2018 17:40,83.22638,119.8141
03/02/2018 17:40,83.247468,119.8123
03/02/2018 17:40,83.26809,119.8104
03/02/2018 17:40,83.286459,119.8086
03/02/2018 17:40,83.30955,119.8068
03/02/2018 17:41,83.334482,119.8052
03/02/2018 17:41,83.358981,119.8034
03/02/2018 17:41,83.379505,119.8017
03/02/2018 17:41,83.403971,119.7999
03/02/2018 17:41,83.430061,119.7983
03/02/2018 17:41,83.454277,119.7965
03/02/2018 17:41,83.47937,119.7947
03/02/2018 17:41,83.503771,119.7931
03/02/2018 17:41,83.524575,119.7913
03/02/2018 17:41,83.548227,119.7895
03/02/2018 17:41,83.572226,119.7876
03/02/2018 17:41,83.593215,119.7861
03/02/2018 17:42,83.614236,119.7844
03/02/2018 17:42,83.634605,119.7825
03/02/2018 17:42,83.655594,119.7809
03/02/2018 17:42,83.674805,119.779
03/02/2018 17:42,83.694981,119.7774
03/02/2018 17:42,83.716564,119.7758
03/02/2018 17:42,83.734335,119.7739
03/02/2018 17:42,83.752041,119.7722
03/02/2018 17:42,83.769876,119.7703
03/02/2018 17:42,83.789271,119.7685
03/02/2018 17:42,83.804724,119.7668
03/02/2018 17:42,83.823089,119.7649
03/02/2018 17:43,83.841921,119.7632
03/02/2018 17:43,83.855781,119.7613
03/02/2018 17:43,83.873518,119.7595
03/02/2018 17:43,83.892132,119.7577
03/02/2018 17:43,83.907617,119.7559
03/02/2018 17:43,83.925418,119.754
03/02/2018 17:43,83.941715,119.7523
03/02/2018 17:43,83.9572,119.7505
